lot,start_year,start_week,start_day,assyin_entity_code,original_entity_code,package_type,cust_assy_lot,start_date,flowtype,order_type,cust_code,package_code,product_no,original_start_qty,bom_no,bom_rev,last_oper,assy_pack_type,automotive_flag,wafer_size,die_used,size_type,cancel_flag,compound_stock
EMSPR0816.5,2024,8,2,140,140,QFN,183743,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-02-G317,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0816.4,2024,8,2,140,140,QFN,183743,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-02-G317,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0816.3,2024,8,2,140,140,QFN,183743,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-02-G317,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0816.2,2024,8,2,140,140,QFN,183743,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-02-G321,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0816.1,2024,8,2,140,140,QFN,183743,2/19/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-02-G317,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0894.6,2024,9,3,140,140,QFN,181799,2/27/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-03-G070,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0894.5,2024,9,3,140,140,QFN,181799,2/27/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-03-G076,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0894.7,2024,9,3,140,140,QFN,181799,2/27/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,24128,EMS0917P,B,2024-EMS-03-G076,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0894.1,2024,9,3,140,140,QFN,181799,2/27/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-03-G070,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0894.2,2024,9,3,140,140,QFN,181799,2/27/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-03-G076,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0894.3,2024,9,3,140,140,QFN,181799,2/27/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-03-G076,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0894.4,2024,9,3,140,140,QFN,181799,2/27/2024 19:00,G-A,P,EMS,NQ-500E5001020U,174.02A,17600,EMS0917P,B,2024-EMS-03-G084,TUBE,Y,8,1,87.8 X 89.8,,CZ0289
EMSPR0575.1,2024,6,6,140,140,QFN,176946,2/9/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,17600,EMS0899P,B,2024-EMS-02-G218,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0575.4,2024,6,6,140,140,QFN,176946,2/9/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,13200,EMS0899P,B,2024-EMS-02-G232,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0575.2,2024,6,6,140,140,QFN,176946,2/9/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,17600,EMS0899P,B,2024-EMS-02-G249,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0575.3,2024,6,6,140,140,QFN,176946,2/9/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,17600,EMS0899P,B,2024-EMS-02-G218,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0576.1,2024,6,7,140,140,QFN,178075,2/10/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,17600,EMS0899P,B,2024-EMS-02-G254,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0576.4,2024,6,7,140,140,QFN,178075,2/10/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,14549,EMS0899P,B,2024-EMS-02-G249,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0576.3,2024,6,7,140,140,QFN,178075,2/10/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,17600,EMS0899P,B,2024-EMS-02-G254,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0576.2,2024,6,7,140,140,QFN,178075,2/10/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.40A,17600,EMS0899P,B,2024-EMS-02-G254,TUBE,Y,8,1,139.40 X 107.10,,CZ0142
EMSPR0606.1,2024,6,1,140,140,QFN,171103,2/4/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,7905,EMS0908P,A,2024-EMS-02-G188,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0607.3,2024,6,1,140,140,QFN,181086,2/4/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,13083,EMS0908P,A,2024-EMS-02-G142,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
EMSPR0607.1,2024,6,1,140,140,QFN,181086,2/4/2024 19:00,G-A,P,EMS,NQ-500E5001020U,521.41A,17600,EMS0908P,A,2024-EMS-02-G167,TUBE,Y,8,1,141.70 X 141.70,,CZ0142
